;TEMPO;VDS;VG
17639;0.007938;0.115924;0.53871
17640;0.00793845;0.116134;0.53871
17641;0.0079389;0.11213;0.53871
17642;0.00793935;0.111919;0.53871
17643;0.0079398;0.111919;0.53871
17644;0.00794025;0.111919;0.53871
17645;0.0079407;0.111919;0.53871
17646;0.00794115;0.111919;0.53871
17647;0.0079416;0.111919;0.53871
17648;0.00794205;0.110654;0.53871
17649;0.0079425;0.111497;0.53871
17650;0.00794295;0.111919;0.53871
17651;0.0079434;0.111708;0.53871
17652;0.00794385;0.111076;0.53871
17653;0.0079443;0.111708;0.53871
17654;0.00794475;0.111497;0.53871
17655;0.0079452;0.111497;0.53871
17656;0.00794565;0.111076;0.53871
17657;0.0079461;0.111708;0.53871
17658;0.00794655;0.111919;0.53871
17659;0.007947;0.111919;0.53871
17660;0.00794745;0.111919;0.53871
17661;0.0079479;0.111919;0.537525
17662;0.00794835;0.111919;0.536339
17663;0.0079488;0.111919;0.53871
17664;0.00794925;0.111919;0.53871
17665;0.0079497;0.111919;0.53871
17666;0.00795015;0.111919;0.53871
17667;0.0079506;0.111919;0.53871
17668;0.00795105;0.111708;0.53871
17669;0.0079515;0.111708;0.53871
17670;0.00795195;0.111919;0.53871
17671;0.0079524;0.111919;0.53871
17672;0.00795285;0.111919;0.53871
17673;0.0079533;0.111708;0.53871
17674;0.00795375;0.106228;0.53871
17675;0.0079542;0.106439;0.53871
17676;0.00795465;0.111287;0.53871
17677;0.0079551;0.111919;0.53871
17678;0.00795555;0.111919;0.53871
17679;0.007956;0.111919;0.53871
17680;0.00795645;0.111919;0.53871
17681;0.0079569;0.110654;0.53871
17682;0.00795735;0.110865;0.53871
17683;0.0079578;0.110865;0.536339
17684;0.00795825;0.110022;0.537525
17685;0.0079587;0.110443;0.53871
17686;0.00795915;0.110022;0.53871
17687;0.0079596;0.110654;0.53871
17688;0.00796005;0.111919;0.53871
17689;0.0079605;0.111287;0.53871
17690;0.00796095;0.110865;0.53871
17691;0.0079614;0.110022;0.53871
17692;0.00796185;0.110654;0.53871
17693;0.0079623;0.111287;0.53871
17694;0.00796275;0.111497;0.53871
17695;0.0079632;0.111919;0.53871
17696;0.00796365;0.111919;0.53871
17697;0.0079641;0.111919;0.53871
17698;0.00796455;0.111919;0.53871
17699;0.007965;0.111919;0.53871
17700;0.00796545;0.111919;0.53871
17701;0.0079659;0.111919;0.53871
17702;0.00796635;0.111497;0.53871
17703;0.0079668;0.111287;0.53871
17704;0.00796725;0.111497;0.53871
17705;0.0079677;0.111919;0.53871
17706;0.00796815;0.111919;0.53871
